src,dest,weight
D001464,D000818,4759
D001479,D000818,5053
D001482,D000818,4583
D001483,D000293,6466
D001483,D000328,18462
D001483,D000368,8906
D001483,D000465,3529
D001483,D000483,13991
D001483,D000595,136846
D001483,D000818,184253
D001483,D000911,5076
D001483,D000939,3013
D001483,D001402,3724
D001483,D001412,3306
D001483,D001419,3170
D001483,D001426,20954
D001483,D001482,5746
D001485,D000328,3167
D001485,D000818,9928
D001499,D000465,4310
D001499,D000818,6697
D001500,D000818,4899
D001516,D000818,8938
D001517,D000818,10246
D001519,D000293,3163
D001519,D000328,5362
D001519,D000818,4196
D001521,D000293,4659
D001521,D000328,8294
D001522,D000374,3733
D001522,D000704,5768
D001522,D000818,90267
D001522,D000831,4089
D001522,D001007,3331
D001522,D001362,3968
D001523,D000223,3622
D001523,D000293,26576
D001523,D000328,43100
D001523,D000367,5405
D001523,D000368,18973
D001523,D000369,3939
D001523,D000437,3884
D001523,D000818,4030
D001523,D001291,3289
D001523,D001294,3093
D001528,D000328,4839
D001530,D000328,4123
D001549,D000068877,8191
D001549,D000328,3487
D001549,D000818,7407
D001549,D000970,5538
D001551,D000818,3081
D001552,D000818,5983
D001562,D000818,8684
D001564,D000818,4019
D001565,D000818,5728
D001569,D000328,5665
D001569,D000818,5285
D001572,D000818,4396
D001578,D000818,3972
D001580,D000818,3636
D001615,D000818,3782
D001616,D000818,9134
D001618,D000900,6690
D001618,D001426,3520
D001639,D000328,3193
D001639,D000818,10107
D001640,D000818,5854
D001642,D000328,5139
D001646,D000328,3269
D001646,D000818,14485
D001647,D000818,10060
D001647,D001646,3873
D001650,D000328,3730
D001650,D000368,5264
D001652,D000818,3627
D001653,D000368,3218
D001653,D001650,5157
D001660,D000328,3813
D001660,D000368,3088
D001663,D000328,5238
D001663,D000818,5759
D001665,D000255,7320
D001665,D000465,3300
D001665,D000595,46076
D001665,D000596,5467
D001665,D000818,92313
D001665,D001426,10513
D001665,D001483,29375
D001666,D000818,7572
D001666,D000911,3042
D001667,D000595,4996
D001667,D000818,32598
D001667,D000911,3990
D001667,D001665,8649
D001671,D001669,4777
D001672,D000328,3950
D001672,D000818,21067
D001673,D000818,4039
D001673,D001419,4620
D001679,D000818,3961
D001681,D000818,22149
D001682,D000284,8077
D001682,D000328,8298
D001682,D000818,14879
D001683,D000818,6287
D001688,D000818,5042
D001692,D000255,3271
D001692,D000328,3273
D001692,D000595,5904
D001692,D000596,3590
D001692,D000818,58196
D001692,D001426,3001
D001693,D000818,20394
D001696,D000293,6630
D001696,D000328,23404
D001696,D000368,11404
D001696,D000369,4341
D001696,D000704,3670
D001696,D000818,25258
D001699,D000818,4558
D001703,D000818,6840
D001705,D000368,3121
D001705,D001021,3233
D001706,D000230,4152
D001706,D000293,19545
D001706,D000328,57335
D001706,D000367,3164
D001706,D000368,37615
D001706,D000369,9675
D001706,D000818,8881
D001707,D000293,4925
D001707,D000328,16656
D001707,D000368,14604
D001707,D000369,4820
D001709,D000818,5357
D001710,D000818,5693
D001711,D000818,17012
D001713,D000818,6082
D001714,D000293,5881
D001714,D000328,17241
D001714,D000368,5296
D001715,D000818,8953
D001717,D000818,32816
D001717,D001715,3987
D001724,D000293,3987
D001724,D000328,10057
D001724,D000818,3997
D001733,D000818,5667
D001741,D000293,11727
D001741,D000328,19582
D001741,D000367,3875
D001741,D000368,11370
D001741,D000369,3438
D001743,D000293,3409
D001743,D000328,8904
D001743,D000368,7433
D001743,D000818,15149
D001749,D000328,10720
D001749,D000368,17226
D001749,D000369,6352
D001749,D000818,5624
D001749,D001743,5492
D001755,D000818,10523
D001761,D000328,4187
D001761,D000818,4293
D001761,D000971,4741
D001766,D000328,5277
D001766,D000368,3227
D001769,D000328,5684
D001769,D000818,18237
D001772,D000328,5366
D001772,D000818,7061
D001773,D000818,4348
D001774,D000328,3523
D001774,D000818,6439
D001775,D000818,6376
D001777,D000328,6965
D001777,D000368,4134
D001777,D000818,11276
D001777,D000925,4331
D001778,D000328,3669
D001780,D000328,4680
